ngram,company,value
activated_nobody,White,1
activated_start,White,1
activates_meaningful,White  Show,1
activating_one,Black  Show,1
actively_using,Black,1
actually_came,Black  Spot,1
actually_differ,Black  Plus,1
actually_fix,Black  Show,1
actually_fix,White,1
actually_hire,White  Spot,1
actually_like,Black  Spot,1
actually_like,White  Show,1
actually_love,Configuration: Fire TV Stick,1
actually_made,Charcoal Fabric ,2
actually_much,Charcoal Fabric ,2
actually_playing,Black  Dot,2
actually_preferred,Black  Spot,1
actually_see,Black  Show,1
actually_seeing,Black  Show,1
actually_show,Black,1
actually_tested,Black  Spot,1
actually_throughout,Black  Dot,2
actually_understand,White  Plus,1
actually_use,White  Spot,1
actually_used,White  Show,1
actually_useful,Black  Spot,1
actually_work,Black  Plus,1
actually_alexa ,Black  Dot,2
ad_across,White  Show,1
ad_alexa,White  Spot,1
ad_forever,White  Spot,1
ad_say,Black  Plus,1
ad_watch,Black  Spot,1
adapted_machine,Black  Show,1
adapter_according,White,1
adapter_big,Configuration: Fire TV Stick,1
adapter_hope,Black,1
adapter_light,White  Plus,1
adapter_like,Black  Dot,2
adapter_may,Configuration: Fire TV Stick,1
adapter_shop,White,1
adapter_wa,Configuration: Fire TV Stick,1
adapter_wa,White,1
adapter_wasnt,Black,1
adapting_smart,Black  Plus,1
add_ability,Black  Plus,1
add_ability,Heather Gray Fabric ,2
add_ability,White  Spot,1
add_alexa,Black  Dot,2
add_alexa,Charcoal Fabric ,2
add_alexa,Configuration: Fire TV Stick,1
add_alexa,Heather Gray Fabric ,2
add_amazon,Black  Spot,1
add_app,Configuration: Fire TV Stick,1
add_bulb,Black  Plus,1
add_couple,Black  Dot,2
add_device,Black  Plus,1
add_echo,White,1
add_external,Charcoal Fabric ,2
add_grocery,White  Show,1
add_homewhat,Black  Plus,1
add_item,White  Show,1
add_like,Black  Show,1
add_little,Black  Spot,1
add_much,Black  Show,1
add_much,Charcoal Fabric ,2
add_much,White  Show,1
add_nice,Charcoal Fabric ,2
add_random,White  Plus,1
add_salsa,Black  Dot,2
add_show,Black  Show,1
add_skill,Charcoal Fabric ,2
add_smart,White  Dot,2
add_speaker,Black  Dot,2
add_speaker,Black  Show,1
add_stand,White  Spot,1
add_stuff,White  Plus,1
add_thing,Black,1
add_whole,Black  Spot,1
added_another,Configuration: Fire TV Stick,1
added_app,White  Spot,1
added_audible,Charcoal Fabric ,2
added_battery,Black  Plus,1
added_benefit,Black  Spot,1
added_calendar,Black  Show,1
added_function,Black  Spot,1
added_functionality,White  Plus,1
added_home,Black  Show,1
added_kasa,Charcoal Fabric ,2
added_late,Black  Spot,1
added_one,Black  Spot,1
added_programing,Configuration: Fire TV Stick,1
added_quite,Black  Plus,1
added_set,Black  Spot,1
added_show,Black  Show,1
added_smart,Black  Show,1
added_sound,Black  Spot,1
added_speaker,Black  Dot,2
added_spot,Black  Spot,1
added_time,Black  Dot,2
added_time,White  Dot,2
added_upstairs,Black  Dot,2
added_video,Configuration: Fire TV Stick,1
addict_come,Heather Gray Fabric ,2
addicted_little,White  Spot,1
addicted_thing,Black  Dot,2
adding_automation,Charcoal Fabric ,2
adding_calendar,Black  Show,1
adding_device,Black  Plus,1
adding_device,White  Plus,1
